Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
TKA,thyssenkrupp AG,Materials,Germany,XTRA,3708.15,5.70,-41.10,-41.38,-35.33,-55.52,-76.75,-53.90,-23.61,-25.28,-7.44,7.97,8.52,8.67,8.68,8.84,50.25,56.81,0.09,,17.70,-0.03,-6.44,-2.19,-2.70,-2.25,-107.00,-35.93,-23.99,-19.52,-8.24,-18.97,-1628.42,8.50,-12.91,-7.94,-4.94,-5.32,-101.20,-38.49,22.87,-17.23,-8.37,-21.48,,,,,,,9.76,70.49,67.57,30.96,33.59,5.37
AT1,Aroundtown SA,Real Estate,Luxembourg,XTRA,3888.05,3.39,-31.68,-31.34,-42.99,-46.90,,,-18.97,,,4.80,5.01,5.27,5.53,5.73,34.34,41.16,19.22,13.28,10.22,12.73,14.94,26.36,28.85,,4.96,5.89,11.59,22.11,34.38,,5.24,7.15,12.45,22.90,34.30,,0.92,-25.99,-23.43,0.44,0.65,,,,,,,,6.65,6.05,13.13,30.72,43.00,
SHA,Schaeffler AG,Consumer Discretionary,Germany,XTRA,3992.11,5.74,-14.11,-13.34,-20.64,5.58,-38.91,,1.82,-9.38,,5.76,6.21,6.42,6.60,6.78,38.68,42.21,,8.71,10.03,-2.01,-0.92,0.76,1.92,2.62,41.90,0.65,-3.71,-6.69,-3.66,-3.07,18.94,-1.78,-2.17,-1.85,0.13,0.65,-276.64,32.90,-4.97,-2.52,2.09,2.17,,,,,,,75.31,10.48,2.90,15.11,31.90,-3.01
SYAB,SYNLAB AG,Health Care,Germany,XTRA,3993.78,17.14,-25.93,-24.13,-2.70,,,,,,,16.91,18.46,19.13,19.20,,35.66,38.42,-10.88,1.93,43.63,40.54,27.70,19.11,,,109.88,129.40,74.67,39.08,,,45.74,38.61,26.47,18.29,,,142.57,138.11,143.49,22.08,,,,,,,,,-47.22,-39.16,-27.46,-23.36,,
G24,Scout24 SE,Communication Services,Germany,XTRA,4078.28,50.00,-18.59,-18.59,-28.36,11.03,65.40,,3.54,10.58,,54.85,56.00,57.42,60.16,61.45,32.02,36.10,,1.64,10.60,6.90,8.05,-1.74,2.46,,-1.18,14.52,9.12,0.44,39.96,,7.57,11.42,8.87,-1.43,0.99,,-96.18,6.35,-18.01,6.15,19.13,,,,,,,,-95.58,-71.00,-63.78,-45.20,-34.70,
FIE,Fielmann Aktiengesellschaft,Consumer Discretionary,Germany,XTRA,4168.42,47.52,-19.66,-19.46,-24.01,-21.87,-23.62,67.81,-7.88,-5.24,5.31,50.08,52.47,54.18,56.14,57.63,21.24,24.99,-0.04,2.53,17.44,5.05,5.53,4.65,4.58,4.77,42.70,-8.45,-5.19,-2.36,-1.03,2.07,16.63,4.92,5.47,4.83,4.79,5.02,17.56,-10.85,-6.77,-3.82,-1.97,1.14,,,,,,,16.74,-10.95,-8.60,-5.08,-2.56,-0.35
FRA,Fraport AG,Industrials,Germany,XTRA,4187.33,43.40,-26.66,-27.52,-26.22,-42.59,-40.65,20.94,-16.85,-9.90,1.92,52.67,55.04,56.70,56.33,56.83,38.67,43.66,,,27.20,-23.67,-14.70,-3.61,-1.49,-1.00,-96.11,-83.94,-70.65,-47.37,-37.62,-28.51,382.60,-35.75,-23.97,-10.15,-7.17,-5.53,-112.59,-55.64,-44.10,-26.09,-13.83,-10.11,,,,,,,-18.36,-54.20,-43.64,-41.38,-29.90,-18.67
SIX3,Sixt SE,Industrials,Germany,XTRA,4273.52,62.40,-23.97,-23.44,-5.04,3.14,74.56,658.57,1.03,11.77,22.44,71.55,75.58,77.63,75.60,74.92,41.96,47.94,,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIX2,Sixt SE,Industrials,Germany,XTRA,4273.52,100.70,-33.15,-33.07,-10.57,10.42,113.43,908.25,3.35,16.35,25.97,126.38,134.87,137.39,132.83,130.71,43.27,49.40,0.09,3.67,48.93,-4.30,-7.86,-1.02,3.56,3.91,-89049.81,13.13,6.33,11.18,13.10,9.06,84.87,1.77,2.84,7.15,9.88,9.40,-1041.91,15.60,-9.75,17.09,16.12,12.35,,,,,,,25.50,10.20,10.63,13.09,13.62,11.64
EVT,Evotec SE,Health Care,Germany,XTRA,4399.12,23.84,-43.91,-43.31,-38.90,-3.01,74.33,1016.63,-1.01,11.74,27.26,25.47,29.89,32.89,34.21,34.47,47.47,57.93,-10.16,,23.38,17.66,18.08,30.31,31.79,22.67,-21.39,-27.03,-14.74,10.34,74.29,21.54,20.52,6.79,10.60,20.95,26.41,15.79,3332.78,137.66,36.80,50.91,63.24,41.39,,,,,,,187.37,225.38,139.78,63.27,44.42,40.20
