Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
002605,Shanghai Yaoji Technology Co. Ltd.,Consumer Discretionary,China,XSEC,849.53,14.20,-37.53,-55.11,-30.08,36.56,10.50,,10.93,2.01,,17.39,19.43,18.97,18.85,19.40,54.86,57.87,-0.12,,48.61,48.07,57.22,39.80,26.08,19.25,-11.21,3.51,34.31,33.28,21.53,19.93,5.62,16.89,47.49,50.12,33.22,27.79,-47.53,28.98,61.13,42.55,24.71,22.97,,,,,,,52.91,143.74,22.57,2.39,3.77,5.37
002606,Dalian Insulator Group Co. Ltd,Industrials,China,SZSE,651.40,10.10,1.42,-2.67,46.56,72.41,-51.23,127.86,19.89,-12.51,8.57,9.29,9.75,9.80,9.30,8.96,60.21,55.81,,0.36,7.41,12.59,15.65,4.41,6.74,3.68,28.93,83.26,69.30,10.00,26.10,10.41,13.90,15.86,34.06,4.35,9.16,5.12,47.81,83.63,102.24,10.72,29.43,11.24,,,,,,,30.75,25.35,18.61,12.03,10.85,8.22
002607,Offcn Education Technology Co. Ltd.,Consumer Discretionary,China,SZSE,4591.09,5.03,-36.01,-33.55,-67.12,-61.37,,,-27.15,,,5.66,6.40,7.45,8.59,11.20,60.69,60.03,,,-38.30,-13.21,3.48,21.75,,,-184.91,8.02,24.59,47.65,,,-71.09,-40.20,-19.56,4.58,,,-202.83,14.59,27.14,48.64,,,,,,,,,-75.40,-45.75,-29.66,17.24,,
002608,Jiangsu Guoxin Corp. Ltd.,Utilities,China,SZSE,3735.03,6.68,-4.57,3.09,8.09,-17.89,-43.77,,-6.35,-10.86,,6.16,6.28,6.36,6.33,6.36,36.90,40.78,,,33.14,17.02,9.27,11.42,,,-156.58,-19.16,-21.30,-15.18,,,-117.05,-55.72,-45.18,-31.94,,,-115.08,-62.24,-48.81,-20.47,,,,,,,,,-3.33,2.48,5.24,13.04,,
002609,Shenzhen Jieshun Science and Technology Industry Co.Ltd.,Information Technology,China,XSEC,687.10,7.15,-26.37,-31.75,-22.64,-11.87,-47.40,,-4.12,-12.04,,8.18,8.87,8.96,9.19,9.36,44.75,47.64,-0.58,0.42,9.75,13.69,18.53,13.93,15.51,14.66,3.54,9.20,45.52,-4.42,5.86,11.47,11.60,12.28,21.06,9.72,13.16,14.12,0.93,6.47,19.48,-2.39,7.13,14.24,,,,,,,7.07,8.57,6.54,2.08,14.17,12.64
002610,Jiangsu Akcome Science and Technology Co. Ltd.,Information Technology,China,XSEC,2522.69,3.81,-18.94,-4.99,59.41,111.67,56.15,,28.37,8.98,,3.63,3.89,4.20,3.96,3.70,67.99,57.74,1.28,,-16.16,-29.73,-19.50,-8.28,-2.41,5.20,-338.66,28.45,-9.36,-4.45,2.03,16.78,-89.72,-74.99,-62.36,-41.94,-28.49,-14.81,-2466.95,-49.81,52.04,23.52,23.62,7.49,,,,,,,-15.59,-5.60,-15.04,-8.40,7.37,11.00
002611,Guangdong Dongfang Precision Science & Technology Co. Ltd.,Consumer Discretionary,China,XSEC,902.12,4.70,-15.77,-13.28,-2.89,1.29,,,0.43,,,4.46,4.83,5.05,5.14,5.04,42.41,41.89,13.16,,20.86,-40.55,-18.95,18.11,16.78,25.58,35.83,-23.89,246.77,24.20,14.61,17.43,18.10,-23.75,-4.75,19.42,16.82,22.46,20.08,-49.58,-50.60,37.34,27.76,19.86,,,,,,,-11.99,-9.72,0.72,28.96,29.89,16.96
002612,Lancy Co. Ltd.,Consumer Discretionary,China,XSEC,1878.61,28.69,-9.28,-0.39,-39.55,244.21,132.85,,50.93,18.40,,25.32,26.96,29.05,30.93,34.86,59.38,58.93,-1.00,0.24,27.42,10.40,11.26,21.79,16.81,15.93,135.63,-2.32,7.44,23.30,11.44,-1.47,34.16,9.60,10.96,22.28,16.96,15.45,31.97,78.58,-3.79,2.71,6.42,-1.07,,,,,,,0.71,0.07,1.90,4.75,-1.10,-0.63
002613,Luoyang Northglass Technology Co.Ltd,Industrials,China,SZSE,772.54,5.57,51.36,27.17,50.13,95.35,20.73,128.86,24.98,3.84,8.62,5.76,5.12,4.70,4.49,4.32,64.39,82.29,,,59.48,24.58,18.72,14.14,10.62,7.11,1044.35,93.03,-29.75,142.29,37.20,-7.63,58.54,6.53,18.82,4.64,5.75,1.83,302.76,43.59,13.81,17.90,16.76,-5.85,,,,,,,-2.66,-0.78,0.17,0.37,0.20,0.18
002614,Xiamen Comfort Science&Technology Group Co. Ltd,Consumer Discretionary,China,XSEC,719.68,7.80,-37.19,-37.63,-59.14,-46.40,-51.33,,-18.75,-13.40,,9.03,10.11,10.72,11.97,13.05,36.47,34.67,4.13,3.85,12.25,22.57,13.32,18.09,15.96,15.43,-49.42,-5.22,-8.28,7.30,16.15,9.57,-4.49,8.42,5.37,13.40,14.37,20.46,4.34,25.94,1.44,12.80,18.44,12.72,,,,,,,9.75,26.37,17.85,15.09,11.08,7.80
