Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
ADWA,Andrew Peller Limited,Consumer Staples,Canada,TSX,203.79,5.94,-25.80,-23.46,-33.14,-54.71,-40.91,125.54,-23.17,-9.97,8.46,6.78,7.15,7.47,7.70,8.13,25.88,31.44,2.04,4.14,-4.86,-1.10,-0.69,1.77,2.45,3.05,-60.53,-37.33,-26.82,-13.26,-5.18,-3.17,-11.37,-9.04,-5.46,1.17,2.76,2.64,-55.13,-27.15,-17.19,-13.90,-2.81,-0.42,,,,,,,-2.62,0.29,0.72,5.36,8.05,9.22
ADY,Adyton Resources Corporation,Materials,Australia,TSXV,3.33,0.0350,-46.15,-41.67,-68.18,,,,,,,0.0445,0.0498,0.0590,0.0765,,141.95,158.32,,,,,,,,,2659.02,,,,,,,,,,,,-686.22,,,,,,,,,,,,-484.81,,,,,
ADYA,Adya Inc.,Communication Services,Canada,TSXV,2.52,0.1400,,40.00,33.33,-53.33,-82.50,-94.81,-22.36,-29.22,-25.55,0.1361,0.283,0.408,0.58,0.90,432.87,468.46,,,-14.29,-16.34,-16.74,-19.64,-16.33,-7.22,15.21,64.94,88.32,20.72,35.26,-3.22,-4.20,-14.56,-14.63,-16.39,-14.06,-6.08,-4.93,96.59,130.80,-23.07,7.12,-5.63,,,,,,,60.62,110.61,1.68,6.10,-2.47,18.85
ADZ,Adamera Minerals Corp.,Materials,Canada,TSXV,9.40,0.0600,20.00,0.00,-25.00,100.00,-58.62,,25.94,-16.15,,0.0620,0.0584,0.0589,0.0660,0.0700,135.03,144.58,-3.34,,,,,,,,206.83,11.61,-12.48,2.67,-6.34,,6.32,-1.49,-22.59,117.27,51.72,,149.60,-0.78,-6.33,-2.57,-9.28,,,,,,,,26.96,28.15,18.56,37.69,25.62,
ADZN,Adventus Mining Corporation,Materials,Canada,TSXV,48.55,0.380,-60.00,-61.62,-64.15,-66.07,-45.71,,-30.21,-11.47,,0.64,0.73,0.78,0.81,0.86,55.61,69.41,-51.45,,,,,,,,-594.53,132.47,72.22,61.45,,,,,,,,,-740.17,98.71,141.93,67.90,,,,,,,,,31.05,47.73,53.65,64.25,,
AEC,Anfield Energy Inc.,Energy,Canada,TSXV,31.14,0.0650,-31.58,-35.00,-38.10,-56.67,-88.18,-99.46,-24.29,-34.71,-40.61,0.1030,0.1004,0.1071,0.1116,0.1164,108.08,97.87,-43.27,,,,,,,,54.47,49.74,6.63,16.78,17.03,21.92,,,,,,,31.52,4.81,-1.65,12.24,16.29,23.41,,,,,,,-26.41,-11.14,-5.71,38.12,36.48,30.12
AEG,Aegis Brands Inc.,Consumer Discretionary,Canada,TSX,5.35,0.300,-57.75,-58.90,-73.21,-81.48,-81.82,-95.27,-42.94,-28.85,-26.27,0.63,0.69,0.78,0.89,0.94,104.75,130.25,2.60,,15.36,,-24.94,-18.56,-12.71,-7.99,100.42,36.35,33.58,34.43,22.01,-10.79,47.38,,-4.44,0.72,-4.47,-11.23,-59.67,30.12,90.15,52.01,-16.09,-5.06,,,,,,,-73.98,92.29,-15.85,-25.78,-13.60,-17.90
AEM,Agnico Eagle Mines Limited,Materials,Canada,TSX,19388.18,55.53,-16.11,-12.62,-27.60,-12.99,6.63,68.97,-4.53,1.29,5.38,70.37,68.43,68.17,69.04,71.19,36.04,43.19,-0.12,3.43,21.85,23.80,20.39,12.33,10.53,7.70,9.61,11.34,117.10,25.51,20.00,3.85,20.63,28.95,26.04,13.50,12.89,8.28,6.14,7.13,18.45,27.87,30.78,-0.46,,,,,,,5.64,8.85,10.40,7.98,7.44,6.48
AEP,Atlas Engineered Products Ltd.,Materials,Canada,TSXV,19.34,0.425,-29.17,-30.33,11.84,11.84,,,3.79,,,0.55,0.57,0.57,0.54,0.51,54.81,53.45,-3.81,,53.91,25.78,33.94,,,,1953.34,285.65,69.15,,,,121.36,38.18,44.68,,,,2937.02,203.47,48.05,,,,,,,,,,164.28,313.43,392.08,,,
AEZS,Aeterna Zentaris Inc.,Health Care,United States,TSX,27.50,0.295,-35.16,-36.56,-67.93,-91.06,-78.15,-99.90,-55.22,-26.19,-49.92,0.351,0.394,0.475,0.55,0.64,87.11,95.33,-0.36,,44.03,214.44,-41.94,42.00,141.43,1.12,46.35,-5.52,-4.13,-21.71,-18.14,-12.07,287.27,550.98,-40.69,41.51,140.84,1.41,63.50,17.68,25.96,-19.63,-9.29,-11.08,,,,,,,919.85,104.73,90.83,99.18,34.88,10.96
AFCCH,Automotive Finco Corp.,Financials,Canada,TSXV,22.83,1.50,-22.22,-21.45,-19.38,38.30,8.49,-5.22,11.39,1.64,-0.53,1.83,1.89,1.93,1.95,1.94,36.49,39.30,,13.68,,,,,,,57.66,-58.69,-54.06,,,,,,,,,,26.80,330.53,-31.02,,,,,,,,,,-28.23,-20.93,-19.02,,,
AFE,Africa Energy Corp.,Energy,Canada,TSXV,284.99,0.265,8.16,3.92,3.92,15.22,65.63,-82.79,4.83,10.60,-16.12,0.265,0.259,0.266,0.267,0.266,76.33,79.78,-0.11,,,,,,,,25.15,4.89,1.88,3.73,-33.69,13.61,,,,,,,-605.84,118.47,18.12,38.72,-18.76,34.68,,,,,,,10.20,174.33,90.61,91.16,112.80,27.93
AFI,Affinor Growers Inc.,Industrials,Canada,CNSX,2.55,0.1500,-57.14,-57.14,-57.14,-57.14,-78.57,,-24.57,-26.48,,0.337,0.337,0.331,0.331,0.336,215.86,252.78,3.93,,1685.00,,,-28.46,,,38.85,-9.60,-45.89,-12.89,-28.98,29.62,315.40,-69.09,-52.10,-46.55,,,47.30,-34.80,-39.87,-17.16,-25.63,51.05,,,,,,,-128.42,182.06,-45.62,31.55,-28.34,1.59
AFM,Alphamin Resources Corp.,Materials,Mauritius,TSXV,654.44,0.67,-26.78,-29.77,-3.06,192.88,76.48,5.89,42.84,12.00,0.57,1.05,1.04,1.02,0.97,0.93,66.42,71.00,-3.12,4.48,88.26,260.05,,,,,545.44,779.80,171.93,99.76,54.64,57.40,339.73,303.76,,564.44,224.28,119.06,-645.60,211.14,227.62,61.95,28.60,36.74,,,,,,,59.97,37.55,27.70,31.48,23.46,33.08
AFN,Ag Growth International Inc.,Industrials,Canada,TSX,441.16,30.43,-3.14,-5.44,-8.02,-37.57,-35.94,38.17,-14.51,-8.51,3.28,36.18,35.20,33.95,33.10,34.06,41.57,45.04,,1.97,19.84,9.71,8.76,17.65,16.97,14.63,1082.92,-6.46,-11.72,0.71,3.63,3.24,42.87,6.17,4.27,13.53,13.72,11.57,-117.13,-15.06,-26.53,-11.37,14.47,-8.08,,,,,,,0.11,18.75,95.72,12.44,24.48,17.45
