Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
5284,Yamau Holdings Co. Ltd.,Materials,Japan,TSE,34.63,784.00,29.73,27.43,23.25,152.65,156.73,653.29,36.05,20.73,22.35,715.02,702.67,699.95,692.73,689.59,25.01,24.57,,8.29,-26.99,-8.09,-6.77,-2.09,-0.87,3.99,17.68,39.68,37.60,34.80,15.26,26.47,2.66,12.57,9.39,7.69,5.14,8.40,22.77,44.38,44.96,32.26,14.40,27.64,,,,,,,25.50,26.80,11.09,14.77,8.95,13.55
5285,Yamax Corp.,Materials,Japan,TSE,20.28,585.00,0.69,0.36,8.84,66.45,15.66,263.12,18.44,2.95,13.75,583.04,588.63,589.28,579.51,569.63,27.40,30.99,,3.42,-15.10,-1.54,-2.22,1.26,0.25,3.21,-15.54,14.13,-0.25,0.00,0.46,10.97,-4.61,2.82,0.99,0.74,1.75,5.20,-17.65,26.91,1.90,11.84,-4.10,19.76,,,,,,,5.63,7.09,5.68,6.61,8.32,7.50
5287,Ito Yogyo Co. Ltd,Industrials,Japan,TSE,15.81,746.00,4.35,2.93,-35.45,0.00,-28.13,319.17,0.00,-6.39,15.39,732.54,731.66,763.13,825.02,886.11,24.82,20.37,0.33,1.34,-5.38,3.11,2.49,,,,-49.24,-39.79,-14.66,,,,4.02,5.11,5.65,,,,-130.84,-61.50,-63.42,,,,,,,,,,1.27,-2.56,-5.64,,,
5288,Asia Pile Holdings Corporation,Materials,Japan,TSE,133.07,484.00,10.03,10.52,10.77,-4.77,-21.93,107.64,-1.61,-4.83,7.57,443.49,442.65,446.18,453.40,459.55,19.73,19.57,,4.13,6.86,0.00,2.88,4.60,4.79,7.04,-34.60,-34.40,-25.16,-2.94,-6.79,11.50,-7.57,-9.33,-5.71,1.72,1.02,5.12,-38.70,-25.78,-22.13,-1.72,-6.53,1.33,,,,,,,3.46,4.67,5.05,7.10,6.18,12.48
5290,Vertex Corporation,Materials,Japan,TSE,268.59,1365.00,36.30,32.65,30.80,226.07,,,48.07,,,1055.07,1044.44,1045.63,1044.30,1026.78,29.51,27.02,1.70,1.95,-0.66,-1.94,8.10,,,,15.99,27.48,35.28,,,,5.85,8.33,19.12,,,,12.85,34.76,-10.59,,,,,,,,,,11.04,12.31,9.81,,,
5301,Tokai Carbon Co. Ltd.,Materials,Japan,TSE,1543.42,1003.00,-15.81,-19.73,-29.96,1.23,64.72,275.39,0.41,10.48,14.13,1079.98,1125.64,1189.03,1250.91,1319.79,42.04,41.45,,2.99,28.45,-0.60,3.83,23.92,12.35,9.45,213.61,-32.66,-31.08,85.21,31.09,8.94,42.73,-12.71,-11.27,33.74,20.98,11.43,1480.47,-29.05,-39.85,15.23,30.03,10.16,,,,,,,55.87,23.09,-7.95,1.05,-1.28,0.19
5302,Nippon Carbon Co. Ltd.,Industrials,Japan,TSE,316.48,3970.00,-2.48,-3.52,2.02,11.01,39.35,180.22,3.53,6.85,10.84,4133.30,4144.60,4176.38,4180.38,4220.30,21.64,21.59,,5.04,17.82,-16.17,-13.04,6.63,0.94,-1.74,24.06,-50.81,-39.84,39.98,14.14,-2.77,12.76,-36.96,-28.15,23.72,5.44,-1.73,50.77,-46.96,-35.76,-12.80,19.12,2.84,,,,,,,1.76,-0.29,7.17,12.08,5.16,4.06
5304,Sec Carbon Limited,Industrials,Japan,TSE,146.58,4995.00,-13.00,-11.79,-22.45,-44.02,83.84,137.11,-17.52,12.94,9.01,5371.60,5417.73,5532.50,5677.76,5886.70,30.63,27.83,,4.00,7.61,-19.24,-15.46,12.48,-0.50,-2.10,4.58,-51.72,-42.48,3.68,29.45,11.50,14.13,-38.84,-32.00,76.83,7.93,3.50,21.75,-43.84,-36.44,-1.24,27.33,12.79,,,,,,,4.85,5.71,9.40,13.21,7.08,5.48
5310,Toyo Tanso Co. Ltd.,Industrials,Japan,TSE,425.40,2810.00,-12.19,-7.72,-1.75,38.91,57.22,34.91,11.53,9.46,3.04,2909.91,2976.41,2994.55,2974.73,2901.73,34.83,39.36,,2.14,20.84,1.81,-2.83,3.05,1.47,,65.83,4.47,-6.94,53.97,25.71,,30.05,1.32,-3.92,10.33,5.88,,67.73,23.15,-3.12,73.50,18.93,,,,,,,,8.35,5.41,4.74,5.16,3.15,
5331,Noritake Co. Limited,Industrials,Japan,TSE,437.59,4200.00,-14.83,-12.38,1.24,2.10,14.01,156.93,0.69,2.65,9.88,4206.50,4378.97,4497.88,4451.48,4394.15,30.88,26.05,0.01,3.57,19.29,2.87,0.48,3.24,3.69,2.25,265.72,49.10,7.72,24.56,23.04,17.41,31.48,7.11,1.09,3.68,4.26,3.79,223.16,62.95,-2.24,17.16,23.59,7.33,,,,,,,6.42,8.23,4.35,7.06,5.97,6.76
