Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
A001680,Daesang Corporation,Consumer Staples,South Korea,KOSE,589.82,21400.00,-8.15,-7.56,-17.84,-4.91,-2.71,63.15,-1.66,-0.55,5.01,22786.00,22764.00,23057.75,23718.00,24448.83,23.99,27.08,,3.74,11.46,8.20,5.48,3.98,4.27,4.84,-30.48,8.21,7.82,6.71,1.42,3.38,4.26,8.26,4.98,2.67,2.83,3.67,15.21,15.95,30.48,17.40,6.50,10.02,,,,,,,14.54,12.65,12.49,9.49,8.14,10.07
A001780,Aluko Co. Ltd.,Industrials,South Korea,KOSE,204.64,2950.00,-13.49,-17.02,-40.16,15.01,-31.56,22.87,4.77,-7.30,2.08,3632.00,3639.07,3754.82,3946.86,4137.57,51.05,61.41,-0.04,,2.08,5.49,-0.08,3.36,4.27,3.09,-38.51,7.49,7.51,-10.40,-1.41,-0.87,-4.28,5.87,8.36,4.51,7.46,4.04,-128.16,-24.42,28.96,-28.53,-6.31,29.98,,,,,,,15.32,23.17,12.83,0.11,6.72,4.34
A001810,Moorim SP Co. Ltd.,Materials,South Korea,KOSDAQ,46.01,2690.00,-16.07,-19.22,-32.30,6.20,-18.27,59.02,2.02,-3.95,4.74,3283.00,3232.70,3235.95,3321.08,3379.58,43.09,50.31,,0.93,5.42,-2.09,-1.97,-8.58,-6.66,-1.63,-7.66,127.47,46.92,-9.16,-9.64,-4.39,-9.43,13.18,10.64,-12.22,-10.75,-2.19,138.47,76.00,-27.87,10.19,19.46,-2.32,,,,,,,3.09,1.79,1.16,3.01,2.38,2.34
A001940,KISCO Holdings Corp.,Materials,South Korea,KOSE,125.42,14050.00,-3.44,-8.47,-28.37,8.76,3.93,146.43,2.84,0.77,9.43,16555.50,16046.00,16790.25,17611.00,17983.17,33.34,32.99,3.88,2.85,48.50,15.60,7.05,8.36,4.53,9.04,142.79,86.74,45.09,18.19,62.10,17.60,64.07,52.55,28.12,11.87,21.72,14.31,229.40,59.86,64.92,19.91,55.85,14.37,,,,,,,12.47,7.72,6.84,4.87,5.45,4.35
A002020,Kolon Corporation,Industrials,South Korea,KOSE,236.28,22850.00,-30.86,-35.27,-26.64,34.97,-67.82,13.19,10.50,-20.27,1.25,27420.50,28754.33,30532.25,30805.00,30991.17,46.75,35.05,,2.41,10.64,12.38,7.75,6.57,5.91,24.76,18.41,40.25,36.18,19.79,20.28,11.56,10.07,15.74,12.58,7.78,6.35,14.24,-7.01,128.48,209.29,46.65,45.24,5.03,,,,,,,26.58,27.40,9.58,10.66,7.82,2.67
A002030,Asia Holdings Co. Ltd.,Materials,South Korea,KOSE,161.72,114000.00,-10.94,-16.79,-7.32,11.44,8.17,710.87,3.67,1.58,23.25,142740.00,139036.67,136597.50,135824.00,135448.33,34.63,32.93,1.01,2.63,20.91,9.41,4.30,11.01,8.45,5.46,55.95,20.19,7.61,21.59,15.45,22.91,32.02,13.90,6.67,16.38,11.58,13.01,149.95,47.76,28.02,24.71,25.74,21.47,,,,,,,28.65,22.61,17.34,-7.33,-4.50,-6.48
A002100,Kyung Nong Corporation,Materials,South Korea,KOSE,149.75,10850.00,-11.43,-12.15,-31.25,-24.41,107.47,397.32,-8.90,15.70,17.38,12970.00,12587.67,12717.50,13283.80,13729.17,39.32,37.49,,3.23,8.85,8.99,8.32,5.79,5.28,8.35,17.94,38.73,4.32,12.80,1.57,8.49,3.13,5.79,4.60,3.89,3.43,7.13,26.02,87.12,42.13,19.50,11.27,41.08,,,,,,,10.92,8.05,5.49,4.75,4.42,3.69
A002140,Korea Industrial Co. Ltd.,Consumer Staples,South Korea,KOSE,134.76,7070.00,142.96,133.33,69.68,133.23,148.72,943.01,32.58,19.97,26.39,5469.75,4650.20,4304.55,4240.52,4256.72,91.83,124.12,,0.57,12.06,5.32,10.45,4.38,2.06,1.90,-50.56,-10.08,-8.47,-7.98,-11.89,-3.33,-3.54,0.52,2.71,-1.22,2.10,4.02,-34.11,0.42,4.66,-8.26,-9.45,0.34,,,,,,,3.38,5.31,4.76,4.99,5.02,6.53
A002200,Korea Export Packaging Industrial Co.Ltd,Materials,South Korea,KOSE,67.86,22950.00,-10.00,-10.70,-13.56,19.80,38.87,133.65,6.20,6.78,8.85,24304.50,24488.67,24853.75,25505.60,25600.33,28.69,25.65,1.19,3.05,20.55,8.42,4.44,6.94,4.70,2.55,83.81,1.89,-4.64,45.49,5.08,5.02,22.91,0.20,-1.45,9.34,3.10,3.72,89.84,-6.19,-2.84,138.04,5.02,6.36,,,,,,,4.33,3.13,4.35,3.31,2.07,3.49
A002240,Kiswire Ltd.,Materials,South Korea,KOSE,362.36,20400.00,4.88,-4.90,-12.94,-6.66,-27.18,4.71,-2.27,-6.14,0.46,23289.50,22306.33,23355.00,23696.40,24132.17,53.14,56.64,-1.80,1.47,21.04,1.56,2.36,3.60,3.37,4.13,902.16,109.51,37.36,21.89,13.59,-0.30,57.11,16.43,8.88,2.23,2.61,1.72,1441.54,1409.21,237.26,26.56,-10.88,3.27,,,,,,,12.67,6.21,3.92,2.03,1.56,2.82
